ID,x,y,P,ETo.FAO,ETo.HAM,ETo.HAR,ETo.BLA,ETo.AVG,ETa.HAM,ETa.HAR,ETa.BLA,ETa.AVG,RD.HAM,RS,RS100,LULC_5,random
159,-88.19583333,21.57083333,683,1503,1229.643677,1327.403931,1468.764526,1309.350627,684.4225464,683.6016846,683.1407471,683.7216593,-549.8057861,2.996841908,13,21003,1
362,-87.0375,21.55416667,953,1454,1218.603271,1271.188965,1461.070801,1299.425781,964.1647339,962.9412842,960.3980713,962.5013631,-346.4915466,0,91,20404,1
495,-88.2875,21.5375,774,1503,1227.554199,1341.990234,1467.064575,1307.390991,774.4024658,774.2800903,774,774.2275187,-480.4737549,43.83444977,30,21007,1
541,-87.90416667,21.5375,747,1490,1217.124268,1331.804077,1459.718994,1297.989176,751.6642456,751.5078125,748.8543091,750.6754557,-482.1715393,0,19,20602,1
645,-88.07916667,21.52916667,747,1496,1222.190552,1338.228271,1463.3396,1302.573568,750.56427,750.4276733,748.4779663,749.8233032,-492.4576721,0,22,10201,1
710,-87.0125,21.52916667,970,1454,1216.293335,1266.243774,1459.557617,1297.381429,979.9021606,979.1893311,977.3452148,978.8122355,-337.3982239,0,102,20404,1
839,-87.00416667,21.52083333,973,1454,1215.922729,1265.635498,1459.329834,1297.058431,982.6273804,982.0026855,980.2799683,981.6366781,-336.0114136,0,105,20404,1
868,-88.42916667,21.5125,822,1501,1229.491577,1348.273193,1468.454102,1309.145752,822.0906982,822.0314941,822,822.0407308,-444.3641968,179.2084198,49,21003,1
893,-88.22083333,21.5125,788,1503,1226.075317,1344.9198,1466.178223,1306.109619,792.2763672,790.4174194,789.0504761,790.5814209,-469.8520813,0,34,10201,1
1032,-88.2125,21.50416667,800,1503,1225.480957,1346.125732,1465.767212,1305.576375,804.4957886,802.5239868,801.1046753,802.7081502,-459.2550354,0,36,10201,1
1065,-87.9375,21.50416667,775,1490,1218.884766,1338.346558,1461.075562,1299.615031,779.3259888,778.8743286,776.8146362,778.3383179,-462.4833374,0,26,20602,1
1066,-87.92916667,21.50416667,773,1490,1217.807617,1338.785278,1460.266724,1298.627319,777.385437,776.7232666,774.786499,776.2984009,-462.1062622,0,25,20602,1
1407,-87.0875,21.4875,973,1453,1216.668945,1274.597778,1459.779053,1297.705648,984.3417358,983.5627441,980.9089966,982.9378255,-327.777771,0,97,20404,1
1435,-88.55416667,21.47916667,844,1510,1234.615112,1351.963379,1471.839844,1313.690023,848.8686523,846.8981323,844.4768677,846.7478841,-433.1742859,0,75,20602,1
1441,-88.50416667,21.47916667,852,1510,1230.603271,1353.966064,1469.125977,1310.11084,856.9655151,854.8930664,853.2587891,855.0391235,-424.4652405,0,81,10201,1
1559,-87.52083333,21.47916667,921,1481,1213.201538,1313.664063,1457.10498,1294.502686,921.2802734,921.1174927,921,921.1325887,-341.5300598,198.5339508,77,21007,1
1614,-88.39583333,21.47083333,868,1516,1229.04187,1358.572388,1468.227051,1308.770264,873.1435547,870.9436646,868.9508667,871.0126953,-411.1637878,0.481852502,85,10201,1
1750,-88.62916667,21.4625,843,1510,1235.214355,1351.196411,1472.509277,1314.312663,843.0996704,843,843,843.0332235,-431.7681885,207.2084198,77,21003,1
1967,-88.2625,21.45416667,903,1515,1224.647827,1360.971924,1464.90686,1304.734172,903.3552856,903.1459351,903,903.1670736,-379.6685181,164.9073486,100,10201,1
1991,-88.0625,21.45416667,864,1505,1218.989746,1354.320801,1461.108643,1299.696045,869.8029785,867.1146851,865.1838989,867.3671875,-397.5723267,0,64,10201,1
2018,-87.8375,21.45416667,809,1501,1212.567871,1336.020264,1456.751465,1293.962402,821.0841064,822.2310791,815.9074097,819.7408651,-427.2702637,0,38,10201,1
2177,-88.0875,21.44583333,891,1505,1218.56604,1359.395996,1460.755005,1299.295695,891.47052,891.1726685,891,891.2143962,-377.4451599,148.9073486,84,10201,1
2316,-88.5375,21.4375,893,1510,1234.026489,1362.109131,1471.434082,1313.162354,893.3342285,893.1459351,893,893.1600545,-395.6117859,182.9073486,118,10201,1
2354,-88.22083333,21.4375,944,1515,1221.001831,1363.750854,1462.549927,1301.517863,949.7293701,947.3187256,946.6279907,947.8920288,-344.7164612,14.21407986,130,10201,1
2464,-87.1875,21.4375,1001,1460,1214.942993,1289.188477,1458.577026,1296.154338,1001.715881,1001.757324,1001.476257,1001.649821,-294.1560974,105.9380035,102,21003,1
2553,-88.24583333,21.42916667,949,1515,1223.739868,1364.788086,1464.291504,1303.923747,954.6409912,952.3643188,951.5587769,952.8546956,-343.752594,15.21407986,136,10201,1
2735,-88.5875,21.42083333,897,1510,1235.325562,1360.663696,1472.681396,1314.444173,907.8392334,904.2131348,903.899231,905.3171997,-391.9055481,0,120,20501,1
2821,-87.87083333,21.42083333,824,1501,1211.275635,1342.921265,1456.696045,1293.082438,847.2036743,835.2871704,829.72229,837.4043783,-412.1594543,0,55,10201,1
2875,-87.42083333,21.42083333,1055,1467,1202.422485,1310.510986,1449.356201,1284.733724,1055.799927,1056.334106,1055.04834,1055.727458,-232.9564362,146.2650604,167,20602,1
2891,-87.2875,21.42083333,1026,1460,1213.507568,1301.3573,1457.544556,1294.853231,1026.413452,1026.49585,1026.349854,1026.419718,-265.345459,179.890686,132,20404,1
2902,-87.1875,21.42083333,1011,1460,1214.24939,1290.632813,1458.267822,1295.588867,1011.609924,1011.691711,1011.476624,1011.592753,-286.0122986,115.9380035,112,21003,1
3090,-87.52083333,21.4125,1023,1481,1206.6875,1321.961426,1452.453003,1288.609334,1024.460938,1024.183228,1023,1023.881388,-261.3956909,135.2650604,156,20501,1
3271,-87.95416667,21.40416667,883,1501,1211.210083,1350.672974,1455.88269,1292.767619,883.8105469,883.4755249,883,883.4286906,-368.194397,124.0580597,74,10201,1
3414,-88.7625,21.39583333,855,1509,1230.435425,1352.121582,1469.480469,1310.117106,859.4486694,858.2131348,855,857.5539347,-415.5727539,7.248297691,94,21007,1
3494,-88.09583333,21.39583333,990,1505,1217.614014,1368.990845,1459.973511,1298.400513,995.1514282,994.1425171,995.4438477,994.9125977,-310.2189331,15.21407986,164,10201,1
3513,-87.9375,21.39583333,884,1501,1211.36731,1351.209595,1456.058472,1292.93103,884.9126587,884,884,884.3042196,-366.6460571,115.0985489,74,10201,1
3536,-87.74583333,21.39583333,890,1490,1211.421265,1338.298218,1455.90686,1292.916463,891.6210327,890.7035522,890,890.7748617,-366.545929,56.16570663,74,10201,1
3674,-88.64583333,21.3875,917,1510,1235.362671,1363.778198,1472.693359,1314.4729,928.2171631,924.5681763,923.567749,925.4510295,-375.8925781,0,139,20501,1
3735,-88.1375,21.3875,1111,1505,1215.819336,1382.670044,1458.746948,1296.795207,1065.487061,1111.794922,1113.295288,1096.85909,-272.5098877,59.64223862,262,10201,1
3786,-87.7125,21.3875,909,1490,1213.262085,1336.989746,1457.0271,1294.51709,910.7461548,909.7890625,909,909.8450724,-353.0848694,69.26506042,90,20501,1
3860,-87.09583333,21.3875,1031,1453,1213.332886,1280.517212,1457.502441,1294.722738,1011.790771,1023.086975,1031.162598,1022.013448,-288.2322998,168.890686,129,20404,1
3926,-88.6625,21.37916667,922,1510,1234.469971,1362.271118,1472.067505,1313.669149,922.4238281,922.1974487,922,922.2070923,-371.2998962,201.9437256,144,10201,1
3962,-88.3625,21.37916667,985,1516,1227.146973,1375.677856,1466.585938,1306.959961,985.0717163,985.1605225,985,985.0774129,-324.0939941,238.9073486,174,10201,1
4221,-88.37916667,21.37083333,990,1516,1228.284302,1376.53833,1467.527588,1308.032064,989.5081787,990.1515503,990.1306763,989.9301351,-323.6853027,244.9073486,180,10201,1
4325,-87.5125,21.37083333,1102,1481,1199.026611,1325.138794,1446.769653,1281.607625,1097.028198,1108.4823,1121.669434,1109.059977,-229.0436096,4.796991825,219,20404,1
4326,-87.50416667,21.37083333,1109,1481,1199.210449,1323.577026,1446.933472,1281.78479,1098.86499,1114.437012,1129.475952,1114.259318,-226.784729,6.796991825,224,20404,1
4782,-88.20416667,21.35416667,1090,1515,1217.628784,1378.348633,1459.848999,1298.368856,1065.131104,1091.826416,1093.401978,1083.453166,-275.0541992,45.85631943,243,10201,1
4871,-87.4625,21.35416667,1181,1467,1190.32019,1325.105957,1440.457764,1273.699382,1077.454834,1119.914307,1181.210449,1126.193197,-202.0461121,250.2650604,271,20501,1
4900,-87.22083333,21.35416667,1074,1460,1211.046265,1298.433472,1455.885376,1292.659302,1077.171265,1078.21106,1078.807495,1078.063273,-242.1760559,14.62274075,167,20501,1
5099,-87.9375,21.34583333,944,1501,1212.343384,1359.78186,1456.549927,1293.745565,958.2870483,954.1409912,954.15271,955.5269165,-325.827179,0,122,10201,1
5352,-88.2875,21.3375,1070,1515,1211.749756,1382.930786,1455.865234,1293.121582,1014.590454,1063.738403,1070.151123,1049.493327,-280.7218323,294.9073486,230,10201,1
5604,-88.72083333,21.32916667,967,1524,1232.592773,1368.528076,1470.973389,1312.052979,967.0270386,967.1557007,967,967.0609131,-349.5410461,248.9073486,184,20501,1
5690,-88.00416667,21.32916667,988,1523,1214.331055,1367.544556,1457.8396,1295.50057,992.3386841,991.232605,988.8209839,990.7974243,-300.9104919,31.14207649,159,10201,1
5774,-87.30416667,21.32916667,1134,1461,1201.55188,1308.025024,1448.85791,1283.987223,1130.254517,1146.733398,1156.824951,1144.604289,-209.4878235,0,226,20501,1
5913,-88.74583333,21.32083333,971,1524,1231.829346,1368.075806,1470.521484,1311.393392,968.251709,971.1411133,971,970.1309408,-349.0195618,250.9073486,186,10201,1
6018,-87.87083333,21.32083333,958,1505,1206.284302,1353.846313,1452.389038,1288.319214,968.4414063,965.4813232,963.3200684,965.7475993,-312.2324829,0,131,20501,1
6282,-88.35416667,21.3125,1058,1530,1223.619507,1386.817505,1464.533569,1303.924194,1007.529724,1052.755493,1058.159424,1039.481547,-300.3502502,295.9073486,231,10201,1
6385,-87.49583333,21.3125,1213,1470,1195.226318,1328.846558,1444.08606,1278.179565,1101.403442,1153.653442,1213.752441,1156.269775,-205.9784851,82.49095917,306,20404,1
6407,-87.3125,21.3125,1155,1461,1200.384521,1308.637939,1448.023071,1282.930705,1132.14624,1163.109863,1176.561768,1157.272624,-204.0554199,0,244,20501,1
6501,-89.2375,21.30416667,693,1482,1222.324097,1290.462646,1464.546509,1303.064901,695.727478,694.3493042,694.1323242,694.7363688,-545.9224243,0,26,20701,1
6531,-88.9875,21.30416667,826,1515,1230.158936,1350.229248,1469.808228,1310.042033,826,826,826,826,-433.257843,130.9073486,73,10201,1
6543,-88.8875,21.30416667,899,1515,1226.514038,1360.563965,1467.058228,1306.695435,899.4745483,899,899,899.1581828,-377.1861877,193.9073486,129,10201,1
6604,-88.37916667,21.30416667,1057,1530,1226.807739,1387.050781,1466.764893,1306.793457,1006.09436,1049.439331,1057.163208,1037.565633,-305.1209412,297.9073486,233,10201,1
6611,-88.32083333,21.30416667,1083,1530,1216.528687,1386.323608,1459.327637,1297.46167,1012.645569,1060.729614,1083.109131,1052.161438,-287.7124023,310.9073486,246,10201,1
6624,-88.2125,21.30416667,1119,1530,1213.296021,1385.728638,1456.930786,1294.507609,1066.067261,1119.397339,1121.541016,1102.335205,-268.8491821,69.85631561,267,10201,1
6921,-88.49583333,21.29583333,1049,1530,1234.2771,1389.188721,1471.897827,1313.484009,997.9117432,1038.735718,1049.144165,1028.597209,-321.2138062,301.9073486,237,10201,1
7308,-88.0875,21.2875,1071,1523,1214.03418,1379.798096,1457.235229,1295.101196,1058.879028,1073.622192,1078.581421,1070.360881,-278.1663513,38.85631943,229,10201,1
7357,-87.67916667,21.2875,1061,1493,1202.059814,1345.044067,1449.019531,1284.37972,1064.910645,1069.039917,1077.170776,1070.373779,-258.7044678,0,208,20501,1
7600,-88.5125,21.27916667,1067,1528,1233.470215,1391.931641,1471.449341,1312.79659,1000.037537,1042.407349,1067.085327,1036.510071,-318.2047119,316.9073486,252,10201,1
7632,-88.24583333,21.27916667,1139,1530,1209.691284,1394.196655,1454.282227,1291.221598,1029.81604,1084.879028,1121.365601,1078.68689,-262.6395569,354.8888245,282,10201,1
7796,-86.87916667,21.27916667,1077,1449,1234.920044,1244.885254,1473.193359,1314.344482,946.6472168,944.3363037,1005.662292,965.5486043,-324.9767151,656.8966675,190,30000,1
7915,-88.74583333,21.27083333,1050,1524,1235.63269,1379.411377,1473.018555,1314.761312,982.7131958,1018.793213,1050.054932,1017.187113,-338.1516418,317.9073486,253,10201,1
8025,-87.82916667,21.27083333,1013,1493,1207.465698,1359.070801,1453.053467,1289.328288,1021.307251,1020.943237,1021.801941,1021.35081,-279.0925293,0,173,20501,1
8351,-88.0125,21.2625,1054,1523,1207.578247,1371.983032,1452.831299,1289.329264,1030.066772,1054.546753,1054,1046.204508,-274.1706238,189.2650604,210,20501,1
8436,-87.30416667,21.2625,1181,1461,1205.70813,1314.472534,1451.895874,1287.770711,1081.065063,1106.327515,1170.546265,1119.312948,-205.7767029,317.890686,270,10201,1
8463,-87.07916667,21.2625,1091,1454,1214.579224,1281.561035,1458.610474,1295.922974,1079.914917,1091.082642,1093.902222,1088.299927,-260.5534973,28.24548149,176,20404,1
8686,-88.15416667,21.25416667,1139,1523,1216.129639,1388.386353,1458.814941,1297.02474,1031.062866,1080.140015,1121.285522,1077.496134,-268.089325,355.8888245,284,10201,1
8783,-87.34583333,21.25416667,1214,1470,1202.377075,1320.765137,1449.462524,1284.738892,1079.077026,1110.565674,1179.097046,1122.913249,-203.9590759,354.0696716,302,21007,1
8886,-89.47083333,21.24583333,720,1465,1203.377563,1252.575684,1450.806885,1285.854004,725.3500366,723.5845337,721.515625,723.4833984,-499.5767517,0,36,20701,1
9044,-88.15416667,21.24583333,1142,1523,1214.872803,1388.644531,1457.971436,1295.90568,1030.697144,1079.589722,1121.060181,1077.115682,-267.1551208,359.8888245,287,10201,1
9149,-87.27916667,21.24583333,1179,1461,1202.335205,1311.463989,1449.848145,1284.839518,1111.089966,1148.078247,1182.123047,1147.097087,-202.5086365,46.24547958,267,20501,1
9255,-89.42916667,21.2375,756,1465,1206.881104,1272.484253,1453.145874,1288.96936,761.980957,759.1613159,756.44104,759.1944377,-473.7841492,0,48,20701,1
9622,-89.42083333,21.22916667,775,1465,1207.445068,1279.89978,1453.563599,1289.484578,781.8203735,778.3843994,775,778.401591,-458.3489685,0,57,20701,1
9745,-88.39583333,21.22916667,1110,1530,1228.700684,1396.540283,1468.160522,1308.52063,1012.895081,1060.39978,1100.731201,1058.008687,-301.2892456,337.9437256,280,10201,1
9894,-87.15416667,21.22916667,1124,1454,1210.67688,1294.570435,1455.795776,1292.383179,1065.783325,1076.30542,1124.025513,1088.704753,-231.8394012,256.890686,209,20404,1
10000,-89.3625,21.22083333,810,1465,1212.236938,1299.476074,1456.733154,1293.735677,810,810,810,810,-437.1416321,134.9073486,82,20602,1
10045,-88.9875,21.22083333,947,1515,1236.742676,1376.463135,1474.492432,1315.992594,948.5351563,947.8747559,947,947.803304,-359.8165894,105.5281448,160,10101,1
10097,-88.55416667,21.22083333,1117,1528,1234.319946,1401.01709,1472.18396,1313.607951,1008.6073,1056.720459,1095.641113,1053.656291,-311.5160522,350.9437256,293,10201,1
10189,-87.7875,21.22083333,1070,1493,1205.071167,1362.095703,1451.144043,1287.095459,1058.244995,1072.164429,1072.280273,1067.563232,-261.5253601,71.84384155,217,10201,1
10284,-86.99583333,21.22083333,1088,1449,1223.859741,1269.036133,1465.433472,1304.384318,1028.703613,1030.87854,1081.633911,1047.072021,-284.1487427,216.3125458,179,20404,1
10388,-89.22916667,21.2125,845,1482,1224.78418,1335.838623,1465.823853,1305.130737,845,845,845,845,-416.7945557,152.9073486,96,20601,1
10589,-87.55416667,21.2125,1241,1483,1197.814087,1344.725342,1446.232666,1280.62028,1059.763916,1098.489136,1155.049316,1104.434123,-220.5870514,403.468811,352,20501,1
10635,-87.17083333,21.2125,1140,1461,1211.047729,1299.525391,1456.036255,1292.710571,1073.607422,1085.734741,1137.309082,1098.883748,-223.584671,271.890686,224,20404,1
10655,-87.00416667,21.2125,1090,1454,1222.780029,1269.677734,1464.650879,1303.403646,1030.358276,1032.331055,1082.425659,1048.371663,-280.9983215,219.3125458,181,20404,1
10708,-89.67916667,21.20416667,628,1441,1201.553101,1192.724609,1450.226318,1284.444173,628.2007446,628,628.0088501,628.0698649,-573.5531006,29.96293831,6,20602,1
10788,-89.0125,21.20416667,946,1503,1237.065674,1378.74585,1474.837402,1316.322917,955.3101807,952.3795776,951.2320557,952.973938,-360.8520813,0,157,20601,1
10796,-88.94583333,21.20416667,1014,1515,1236.296509,1390.15625,1474.262085,1315.618368,1001.399231,1014.473816,1014,1009.957682,-341.6928101,158.4101715,219,10101,1
10805,-88.87083333,21.20416667,1067,1515,1237.145264,1390.351196,1474.347534,1316.212687,1024.774048,1067.120728,1068.498901,1053.464559,-340.3370667,90.40010834,271,10201,1
10920,-87.9125,21.20416667,1059,1505,1208.395508,1370.908081,1453.9729,1290.254639,1022.59137,1059.118164,1059,1046.903178,-268.8620605,273.9073486,209,10201,1
10935,-87.7875,21.20416667,1084,1493,1206.754395,1364.762695,1452.325562,1288.61145,1067.656372,1086.666016,1089.250977,1081.191121,-260.2889709,37.44555664,229,10201,1
10936,-87.77916667,21.20416667,1085,1493,1206.558716,1363.971558,1452.154541,1288.423991,1062.676636,1086.599365,1086.269165,1078.515055,-258.0903015,82.84384155,228,10201,1
10944,-87.7125,21.20416667,1100,1493,1196.363647,1359.719482,1444.663818,1279.130371,1067.096436,1101.392456,1100,1089.496297,-245.1786194,69.40010834,237,10201,1
10954,-87.62916667,21.20416667,1183,1483,1200.432007,1349.457153,1447.823853,1282.895955,1080.565918,1128.58374,1183.226318,1130.791992,-233.6891785,118.4001083,306,10201,1
11018,-87.09583333,21.20416667,1110,1454,1216.984863,1288.656616,1460.42334,1298.131022,1053.922241,1060.327271,1109.029907,1074.426473,-251.8407288,239.890686,192,20404,1
11384,-87.19583333,21.19583333,1153,1461,1210.710693,1303.342896,1455.823242,1292.414876,1073.902222,1091.109131,1145.011597,1103.340983,-222.4152069,291.058075,241,21007,1
11405,-87.02083333,21.19583333,1098,1454,1221.88269,1272.736084,1463.881958,1302.549113,1036.522095,1037.846924,1088.3927,1054.253906,-274.1077881,224.3125458,186,20404,1
11565,-88.85416667,21.1875,1100,1515,1238.845459,1394.406982,1475.456665,1317.715861,1030.112183,1076.271851,1100.694092,1069.026042,-336.3401489,115.4001083,299,10201,1
11680,-87.89583333,21.1875,1077,1505,1208.032959,1370.791138,1453.466553,1289.844157,1025.066406,1070.57373,1077,1057.546712,-265.8867493,289.9073486,225,10201,1
11689,-87.82083333,21.1875,1091,1493,1207.612305,1366.707153,1453.066772,1289.430461,1031.030151,1073.27002,1091,1065.100057,-259.173584,298.9073486,234,10201,1
11786,-87.0125,21.1875,1099,1454,1222.956543,1271.646729,1464.685181,1303.532756,1036.623779,1037.66272,1088.39978,1054.22876,-275.1595459,225.3125458,187,20404,1
12122,-87.39583333,21.17916667,1286,1470,1195.284668,1329.523804,1444.251099,1278.273478,1110.181396,1160.659302,1230.072754,1166.971151,-199.7168579,85.92513275,377,20404,1
12135,-87.2875,21.17916667,1216,1461,1200.098633,1316.207397,1448.091309,1282.762858,1081.188232,1109.053101,1172.096313,1120.779215,-199.3610535,355.468811,304,20404,1
